,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
30,18,20,21,20,20,19,16,14,14,14,16,20,27,34,41,45,46,45,45,45,46,46,47,47,49,51,53,52,51,53,55,56,56,57,53,57,58,58,58,58,59,61,61,61,62,64,65,65,68,71
31,19,21,22,21,21,19,16,16,17,15,16,20,27,35,41,44,47,48,45,45,46,46,47,48,51,55,55,55,54,55,55,55,55,55,55,57,58,57,58,58,59,61,61,61,62,64,64,65,68,71
32,18,20,22,21,20,18,17,19,19,16,15,20,28,35,42,46,49,50,46,44,45,48,50,51,53,55,56,57,57,56,54,54,54,55,58,59,57,56,57,58,60,62,59,59,60,63,65,65,68,71
33,16,16,20,19,18,17,18,22,21,17,13,20,28,35,42,48,50,48,47,45,46,50,54,55,54,53,55,57,58,57,54,53,55,57,57,58,57,56,57,59,59,61,60,59,61,64,66,66,68,71
34,16,14,18,20,18,15,16,21,21,17,14,19,27,35,41,45,49,51,48,49,49,52,52,51,53,53,53,54,57,55,53,53,54,57,56,55,55,57,59,59,59,61,59,61,62,62,64,66,69,72
35,15,15,17,20,20,17,16,17,17,15,14,19,29,37,43,47,51,53,52,52,51,52,53,52,52,51,49,51,55,54,53,53,53,55,56,56,55,56,57,59,59,59,61,62,62,62,64,66,69,72
36,16,17,20,21,20,17,15,14,14,13,17,24,35,44,50,53,55,56,55,55,52,52,53,53,52,50,46,49,54,55,54,54,53,54,57,57,56,55,56,58,59,59,62,63,63,63,66,68,70,72
37,19,22,25,22,18,16,15,15,15,15,24,32,43,51,55,57,58,58,54,54,51,51,52,53,54,51,47,49,54,55,55,55,54,55,58,57,56,55,56,57,58,59,61,64,65,66,68,70,71,73
38,20,24,26,21,17,17,18,18,20,22,31,37,45,51,54,56,57,57,54,54,50,50,51,53,54,52,50,51,55,54,53,54,54,57,59,56,55,56,57,56,57,60,62,65,67,67,68,69,70,72
39,20,23,23,20,19,20,20,20,24,29,36,40,44,48,52,55,56,56,56,54,50,49,50,51,53,51,51,52,54,53,52,53,55,58,59,56,55,57,57,56,57,60,63,66,67,67,67,68,69,72
40,21,23,22,21,21,21,21,22,27,33,38,40,43,46,50,54,56,55,55,52,47,47,49,50,52,51,51,51,53,52,52,54,55,58,59,57,56,57,58,57,58,60,63,66,67,67,67,68,69,72
41,24,25,25,23,22,21,21,23,28,33,36,38,41,44,49,53,54,53,54,49,44,46,49,51,53,52,50,50,52,52,54,56,56,58,58,58,57,57,57,57,58,59,62,65,67,67,69,70,70,72
42,28,25,25,24,24,26,27,28,31,34,36,39,40,44,51,53,51,51,51,48,44,41,43,47,50,51,52,51,51,52,52,52,55,59,58,60,60,58,57,57,59,60,62,64,67,69,70,70,71,72
43,28,26,24,26,28,29,29,30,32,34,38,41,44,46,48,50,50,50,50,47,43,40,42,46,50,51,51,49,49,50,51,52,54,57,58,59,59,57,55,55,58,61,63,66,68,69,70,71,71,73
44,23,23,25,28,29,28,28,30,34,36,35,38,42,43,44,47,50,49,50,48,43,40,42,48,52,53,53,51,51,52,52,52,54,56,58,59,59,57,55,55,59,63,63,66,67,68,70,72,72,73
45,20,22,26,28,29,28,28,30,34,37,34,33,36,40,42,46,49,48,49,48,45,43,46,53,57,58,57,55,53,53,52,52,53,55,59,59,59,58,57,58,61,64,63,66,67,68,71,74,74,73
46,19,22,27,28,30,32,32,32,33,35,36,33,34,39,42,45,48,48,47,48,47,48,53,59,62,61,59,57,55,55,53,52,54,57,59,60,61,61,61,60,62,64,65,67,68,70,75,77,75,74
47,20,24,30,29,30,32,32,31,32,34,35,32,33,36,39,42,46,48,48,51,52,53,55,59,59,57,54,52,51,51,51,50,52,57,59,60,62,64,64,63,63,64,67,68,69,73,77,78,75,74
48,24,27,30,29,29,29,29,30,32,33,32,32,30,30,35,42,46,49,50,53,53,51,49,51,50,48,45,43,43,45,45,44,47,51,55,57,61,64,65,63,63,65,66,67,70,74,77,76,74,74
49,24,25,26,28,29,28,28,30,31,31,31,33,29,27,34,43,48,49,49,52,50,45,41,42,43,43,44,41,41,44,45,44,46,49,51,54,58,62,63,62,63,65,65,67,70,74,77,75,74,76
